Year,Month,Reported on,SVE,CVE,Title,Affected versions,Severity,Description,Acknowledgement
2015,10,2015-07-30,SVE-2015-4614,CVE-2015-7894,libQjpeg Image Decoding Memory Corruption,L(5.0) and above,High,"The specific JPEG files (non-header information image) can make memory corruption due to a flaw in libQjpeg.so and it is possible to be used to exploit vulnerability.
The newly released 3rd-party libQjpeg library includes a defense code for prevention of memory corruption.", Natalie Silvanovich of Google Project Zero
2015,10,2015-08-08,SVE-2015-4643,CVE-2015-7896,libQjpeg DoIntegralUpsample Crash,L(5.0) and above,Moderate,"The specific JPEG files (non-header information image) can make memory corruption due to a flaw in libQjpeg.so and it is possible to be used to exploit vulnerability.
The newly released 3rd-party libQjpeg library includes a defense code for prevention of memory corruption.", Natalie Silvanovich of Google Project Zero
2015,10,2015-08-04,SVE-2015-4645,CVE-2015-7897,Face Recognition Memory Corruption,L(5.0) and above,High,"The specific files can make memory corruption in the way that they are scanned by the face recognition library in android.media.process due to a flaw in libfacerecognition.so and it is possible to be used to exploit vulnerability.
The newly released 3rd-party libQjpeg library includes a defense code for prevention of memory corruption.", Natalie Silvanovich of Google Project Zero
2015,10,2015-08-12,SVE-2015-4602,CVE-2015-7892,m2m1shot Kernel Driver Buffer Overflow,L(5.0) and above,Moderate,"Missing the upper boundary check of data size for reprocessing JPEG like as decoding or scaling can have a buffer overflow vulnerability when passing incorrect buffer size from user.
The fix avoids a buffer overflow by checking the size of passing data.",Ben Hawkes of Google Project Zero
2015,10,2015-08-11,SVE-2015-4593,CVE-2015-7890,Seiren Kernel Driver Buffer Overflow,L(5.0) and above,Moderate,"Missing the upper boundary check of streaming data can have a buffer overflow vulnerability in case of receiving incorrect buffer size from user.
The fix avoids a buffer overflow by checking the size of streaming data before copying it to a local memory.",Ian Beer of Google Project Zero
2015,10,2015-08-04,SVE-2015-4649,CVE-2015-7888,ZIP Extraction in H20Settings/Settings_ESS,KK(4.4) and above,High,A path traversal vulnerability can allow attackers to write a controlled file to an arbitrary path by using this feature: WifiHS20UtilityService reads any files placed in /sdcard/Download/cred.zip and unzips them into /data/bundle.,Mark Brand of Google Project Zero
2015,10,2014-10-12,SVE-2015-2846,CVE-2015-4034,Information theft and screen theft attack for Galaxy S5,JBP(4.3) and above,Critical,"An attacker can craft a Parcelable object specifying arbitrary class files that will be loaded, resulting in remote code execution as the system user.
This comes from absence of restricting the source of the classes to be loaded in the createFromParcel() function.",
2015,10,2015-07-28,SVE-2015-2858,CVE-2015-4033,Samsung SBeam Image Remote Information Disclosure Vulnerability,JBP(4.3) and above,Critical,"A vulnerability in the way that SBeam handles initial connection can allow an attacker to download any or all images in the context of the SBeam service.
This attack is done when a vulnerable device launches HTTP server on port 15000 because this server doesn¡¯t authenticate an opponent.
The patch ensures that the other side is reliable by adding a procedure to confirm the user before sharing contents.",
2015,10,2015-07-28,SVE-2015-2885,,Resurrecting the READ_LOGS permission,"JBP(4.3), and KK(4.4.2)",Critical,"The sensitive information can be disclosed by generating a world-readable copy of the log file in case of following three reasons:
'Unhandled exception in Dalvik VM', 'Application not responding ANR event', and 'Crash on an application¡¯s native code'.
The fix restricts target users by reducing a read permission.",
2015,10,2015-07-30,SVE-2015-4598,CVE-2015-7891,FIMG2D_BITBLT_BLIT ioctl Concurrency Flaw,L(5.0) and above,Moderate,"Inactivation of synchronizing system at /dev/fimg2d device node can bring out race condition and result in memory corruption vulnerability.
The supplied patch always activates the synchronizing system and prevents dereference of illegal memory.",
2015,10,2015-08-18,SVE-2015-4722,,Defects Fix for Code Review Result of Stagefright,JBP(4.3) and above,High,"The absence of checking bounds to allocate memory at Stagefright can lead to heap overflow by dereference of large memory after small memory (0 size) allocation.
This fix can prevent heap overflow by checking the size.
Some SVE items included in the Samsung Android Security Update cannot be disclosed at this time.",
2015,11,2015-08-04,SVE-2015-4655,CVE-2015-7893,JavaScript Injection Possibility Patch,L(5.0/5.1),Critical,"A vulnerability executing received email script without any inspection can allow an attacker to execute arbitrary JavaScript when a user views a HTML email which contains HTML script tags or other events.
The supplied patch removes JavaScript contained in email.",James Forshaw and Matt Tait of Google Project Zero
2015,11,2015-07-30,SVE-2015-4598,CVE-2015-7891,FIMG2D_BITBLT_BLIT ioctl concurrency flaw,"L(5.0/5.1) on selected models including Galaxy S6/S6 Edge, Galaxy S6 Edge+, Galaxy Note5 with Exynos7420 Chipset",Moderate,"A locking system working incorrectly can lead to memory error due to race condition.
The fix avoids race condition by adding locking algorithm which is working all the time.",Lee Campbell of Google Project Zero
2015,11,2015-08-04,SVE-2015-4642,CVE-2015-7895,Samsung Gallery Bitmap Decoding Crash,L(5.0/5.1),Moderate,"A vulnerability using wrong sample size in libSecMMCodec.so library can lead to memory crash processing in a particular bitmap file.
The newly released 3rd-party libSecMMCodec.so library includes a defense code for prevention of memory corruption.",Natalie Silvanovich of Google Project Zero
2015,11,2015-07-30,SVE-2015-4647,CVE-2015-7898,Samsung Gallery GIF Parsing Crash,L(5.0/5.1),Moderate,"A vulnerability using wrong sample size in libSecMMCodec.so library can lead to memory crash processing in a particular bitmap file.
The newly released 3rd-party libSecMMCodec.so library includes a defense code for prevention of memory corruption.",Natalie Silvanovich of Google Project Zero
2015,11,2015,SVE-2015-4363,,Inputmethod vulnerability,KK(4.4) and above,Critical,"Vulnerabilities using no secure communication 'HTTP' and being absence of confirming extracted file path can allow 'man-in-the-middle' attack and 'directory traversal' attack, respectively.
The respective fixes are using secure communication by 'HTTPS' and confirming the file path before extracting archived files.",
2015,12,2015-11-12,SVE-2015-5123,CVE-2015-8546,Samsung Galaxy Edge baseband process vulnerability,"Selected models including Galaxy S6/S6 Edge, Galaxy S6 Edge+, and Galaxy Note5 with Shannon333 chipset",Critical,"A vulnerability generating a stack overflow enables an attacker to run remote codes on the vulnerable devices by pushing a malicious code from a fake base station.
The supplied patch prevents a stack overflow problem.",Daniel Komaromy and Nico Golde
